tokenID,name,description,file_name,external_url,attributes[Character Type],attributes[Gender],attributes[Origin],attributes[Eyes],attributes[Headwear],attributes[Hair],attributes[Hair Length],attributes[Facial Hair],attributes[Rarity Tier],attributes[Earrings],attributes[Facial Markings],attributes[Expression],attributes[Facial Structure]
1,Wall Street Trader #1,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,1.png,https://commitprotocol.org/wall-street-traders/,Alien,Unspecified,Pop Culture,Alien,,,,,Rare,,,Distinctive,Soft
2,Wall Street Trader #2,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,2.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Spiky,Short,,Common,,,Slight Smile,Long
3,Wall Street Trader #3,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,3.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Wavy,Short,Stubble,Common,,,Slight Smile,Soft
4,Wall Street Trader #4,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,4.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Buzz Cut,Short,Stubble,Common,,,Smirk,Long
5,Wall Street Trader #5,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,5.png,https://commitprotocol.org/wall-street-traders/,Ape,Unspecified,Original,Standard,,,,,Rare,,,Calm,Long
6,Wall Street Trader #6,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,6.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Wavy,Medium,,Common,,,Smirk,Compact
7,Wall Street Trader #7,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,7.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Wavy,Short,,Common,,,Stern,Oval
8,Wall Street Trader #8,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,8.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Wavy,Short,,Common,,,Smirk,Balanced
9,Wall Street Trader #9,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,9.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Wavy,Short,,Common,,,Calm,Long
10,Wall Street Trader #10,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,10.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Wavy,Long,,Common,,,Calm,Wide
11,Wall Street Trader #11,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,11.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Straight,Short,,Common,,,Slight Smile,Wide
12,Wall Street Trader #12,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,12.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Wavy,Short,,Common,,,Stern,Long
13,Wall Street Trader #13,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,13.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Curly,Medium,,Common,,,Slight Smile,Wide
14,Wall Street Trader #14,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,14.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Straight,Short,,Common,,,Slight Smile,Compact
15,Wall Street Trader #15,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,15.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Pop Culture,Standard,,Wavy,Medium,,Rare,,Eye Scar,Serious,Narrow
16,Wall Street Trader #16,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,16.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Spiky,Short,,Common,,,Grinning,Compact
17,Wall Street Trader #17,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,17.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Spiky,Short,Stubble,Common,,,Smirk,Soft
18,Wall Street Trader #18,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,18.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Wavy,Medium,Goatee,Common,,,Stern,Wide
19,Wall Street Trader #19,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,19.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Wavy,Long,,Common,,,Calm,Long
20,Wall Street Trader #20,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,20.png,https://commitprotocol.org/wall-street-traders/,Alien,Unspecified,Pop Culture,Alien,,,,,Rare,,,Smirk,Soft
21,Wall Street Trader #21,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,21.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Buzz Cut,Short,Stubble,Common,,,Calm,Soft
22,Wall Street Trader #22,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,22.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Straight,Long,,Common,,,Grinning,Soft
23,Wall Street Trader #23,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,23.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Bun,Long,,Rare,,,Stern,Wide
24,Wall Street Trader #24,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,24.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Straight,Short,Beard,Common,,,Smirk,Long
25,Wall Street Trader #25,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,25.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Wavy,Long,,Common,,,Slight Smile,Narrow
26,Wall Street Trader #26,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,26.png,https://commitprotocol.org/wall-street-traders/,Alien,Unspecified,Original,Alien,,,,,Rare,,,Slight Smile,Balanced
27,Wall Street Trader #27,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,27.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Straight,Short,,Common,,,Grinning,Angular
28,Wall Street Trader #28,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,28.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Wavy,Short,,Common,,,Slight Smile,Wide
29,Wall Street Trader #29,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,29.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Wavy,Short,Beard,Common,,,Slight Smile,Wide
30,Wall Street Trader #30,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,30.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Straight,Medium,,Common,,,Calm,Oval
31,Wall Street Trader #31,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,31.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Bun,Long,,Rare,,,Slight Smile,Long
32,Wall Street Trader #32,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,32.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Straight,Short,,Common,,,Smirk,Balanced
